Distance_(mm),Gray_Value
0.000000,76.269
0.004712,72.720
0.009424,69.473
0.014136,65.333
0.018848,66.452
0.023560,76.054
0.028272,80.817
0.032984,77.710
0.037696,75.699
0.042408,68.581
0.047120,59.925
0.051833,56.398
0.056545,53.323
0.061257,68.774
0.065969,89.043
0.070681,90.989
0.075393,93.806
0.080105,73.753
0.084817,39.376
0.089529,32.452
0.094241,31.871
0.098953,65.688
0.103665,102.086
0.108377,111.570
0.113089,137.108
0.117801,95.043
0.122513,46.280
0.127225,21.484
0.131937,18.688
0.136649,41.301
0.141361,120.828
0.146073,145.097
0.150785,145.720
0.155498,144.172
0.160210,149.903
0.164922,119.398
0.169634,21.172
0.174346,2.968
0.179058,2.968
0.183770,183.215
0.188482,206.968
0.193194,204.602
0.197906,204.602
0.202618,206.591
0.207330,204.785
0.212042,199.140
0.216754,196.312
0.221466,2.849
0.226178,2.849
0.230890,6.785
0.235602,143.215
0.240314,146.763
0.245026,153.548
0.249738,158.215
0.254451,169.355
0.259163,129.979
0.263875,12.226
0.268587,13.742
0.273299,13.742
0.278011,65.548
0.282723,143.591
0.287435,133.097
0.292147,145.914
0.296859,86.796
0.301571,23.430
0.306283,32.366
0.310995,33.720
0.315707,80.989
0.320419,116.763
0.325131,97.914
0.329843,77.731
0.334555,40.258
0.339267,25.720
0.343979,53.817
0.348691,80.527
0.353404,92.000
0.358116,91.280
0.362828,69.000
0.367540,50.925
0.372252,58.624
0.376964,67.548
0.381676,81.032
0.386388,87.624
0.391100,77.000
0.395812,62.280
